Anime Name,Rating
5 Centimeters Per Second,4
Akame ga Kill!,6
Amagi Brilliant Park,10
Angel Beats!,8
Angels of Death,4.5
Anohana: The Flower We Saw That Day,9
Another,9.5
Arifureta: From Commonplace to World's Strongest,7.5
Asobi Asobase,9
Assassination Classroom,8
Attack on Titan,7.5
Bakemonogatari,7
Barakamon,8.5
Black Clover,9
Blend S,7.5
Blue Exorcist,9
Bofuri: I Don't Want to Get Hurt, so I'll Max Out My Defense,8.5
Buddy Daddies,8.5
Cautious Hero: The Hero Is Overpowered but Overly Cautious,9
Chainsaw Man,8
Chivalry of a Failed Knight,6
Chuunibyou demo Koi ga Shitai!,7.5
Clannad: After Story,10
Code Geass: Lelouch of the Rebellion,8.5
Daily Lives of High School Boys,9
The Daily Life of the Immortal King,9
DanMachi: Is It Wrong to Try to Pick Up Girls in a Dungeon?,8
Darling in the Franxx,10
Death Note,5
Death Parade,4.5
Demon Slayer: Kimetsu no Yaiba,10
The Devil Is a Part-Timer!,9.5
Dororo,9
Dr. Stone,9.5
Erased,8.5
Fairy Tail,8
Fate/stay night,7.5
Fire Force,9
Food Wars! Shokugeki no Soma,7
Fullmetal Alchemist: Brotherhood,8.5
Gakuen Babysitters,6.5
The Garden of Words,10
Goblin Slayer,8.5
The God of High School,8
Golden Time,8
Grand Blue,10
Grimgar of Fantasy and Ash,6.5
Guilty Crown,10
Haganai: I Don't Have Many Friends,7.5
Haikyu!!,8.5
Haven't You Heard? I'm Sakamoto,8
Hello World,9
High School DxD,10
Highschool of the Dead,10
Hotarubi no Mori e,8.5
Howl's Moving Castle,8
Hyouka,10
I Want to Eat Your Pancreas,10
In Another World with My Smartphone,7
Is This a Zombie?,8.5
Isekai Quartet,10
Jujutsu Kaisen,10
K (Anime),9
Kaguya-sama: Love Is War,8
Kakegurui,8.5
Kakushigoto,7.5
Teasing Master Takagi-san,9
Katanagatari,7.5
Komi Can't Communicate,8
KonoSuba: God's Blessing on This Wonderful World!,10
Liz and the Blue Bird,6.5
Made in Abyss,10
Maid Sama!,9.5
Maquia: When the Promised Flower Blooms,10
Mieruko-chan,8
The Future Diary,7.5
Mob Psycho 100,10
Monthly Girls' Nozaki-kun,8.5
Mushishi,10
Mushoku Tensei: Jobless Reincarnation,9
My Hero Academia,7
My Love Story!!,7.5
My Next Life as a Villainess: All Routes Lead to Doom!,7
My Teen Romantic Comedy SNAFU,5
My Neighbor Totoro,9.5
Naruto & Boruto,9
Nichijou,8
Nisekoi,8.5
No Game No Life,10
Noragami,9.5
One Punch Man,10
Orange,8
Overlord,9
Seraph of the End,8.5
Parasyte -the maxim-,7.5
Plastic Memories,6.5
Psycho-Pass,7
Rascal Does Not Dream of Bunny Girl Senpai,9.5
Re:Zero − Starting Life in Another World,10
That Time I Got Reincarnated as a Slime,10
ReLIFE,10
Rent-A-Girlfriend,4
Rokka: Braves of the Six Flowers,3
Saga of Tanya the Evil,9.5
Sankarea: Undying Love,9
The Seven Deadly Sins,8.5
A Silent Voice,8
Spirited Away,8
Spy x Family,7.5
Steins;Gate,8
Summer Ghost,5.5
Suzume,4.5
Sword Art Online,9.5
Tales of Zestiria the X,8.5
The Girl Who Leapt Through Time,7.5
The Misfit of Demon King Academy,8
The Pet Girl of Sakurasou,8.5
The Promised Neverland,8.5
The Quintessential Quintuplets,6.5
The Rising of the Shield Hero,9
The Irregular at Magic High School,5
Tokyo Ghoul,8.5
Tamako Love Story,9
Toradora!,9
Tower of God,8.5
Violet Evergarden,10
Weathering with You,8
Wish Upon a Pleiades,9
Yamada-kun and the Seven Witches,7.5
Yo-kai Watch,6
Your Name,10
Your Lie in April,9.5
Zombieland Saga,8
Saint Young Men,2.5
Summertime Render,8.5
